epoch,mse_loss,step
0,0.0020836684852838516,467
1,0.001986769260838628,935
2,0.0019904840737581253,1403
3,0.001978362211957574,1871
4,0.0019636221695691347,2339
5,0.0019578628707677126,2807
6,0.001947588985785842,3275
7,0.0019349002977833152,3743
8,0.001925962627865374,4211
9,0.0019170918967574835,4679
10,0.0019087563268840313,5147
11,0.0018990664975717664,5615
12,0.0018901688745245337,6083
13,0.001884562661871314,6551
14,0.00187368702609092,7019
15,0.0018648753175511956,7487
16,0.0018599552568048239,7955
17,0.0018543221522122622,8423
18,0.0018446031026542187,8891
19,0.0018439771374687552,9359
